Date,Inflow,Outflow
2019-01-01,14763,7335
2019-01-02,14049,6445
2019-01-03,13830,6425
2019-01-04,13435,6273
2019-01-05,13354,7534
2019-01-06,15286,17086
2019-01-07,19296,21143
2019-01-08,25543,27350
2019-01-09,30357,33043
2019-01-10,32939,34476
2019-01-11,36471,30476
2019-01-12,37090,31082
2019-01-13,34060,28056
2019-01-14,30041,23061
2019-01-15,27349,21963
2019-01-16,29387,29871
2019-01-17,42029,42727
2019-01-18,55133,55622
2019-01-19,60404,60820
2019-01-20,64138,63088
2019-01-21,66177,59438
2019-01-22,64484,57455
2019-01-23,62900,55931
2019-01-24,59740,52972
2019-01-25,53111,45970
2019-01-26,46526,39495
2019-01-27,41093,34109
2019-01-28,37178,30192
2019-01-29,33940,26921
2019-01-30,31055,23880
2019-01-31,28419,21333
2019-02-01,26542,23967
2019-02-02,27413,23893
2019-02-03,34093,32316
2019-02-04,50875,52755
2019-02-05,60057,60563
2019-02-06,66108,64958
2019-02-07,68316,65262
2019-02-08,65593,64554
2019-02-09,61183,58571
2019-02-10,60480,59728
2019-02-11,58197,57442
2019-02-12,59380,59357
2019-02-13,68769,71463
2019-02-14,93972,94752
2019-02-15,129533,130451
2019-02-16,153043,153887
2019-02-17,155139,154067
2019-02-18,143046,134533
2019-02-19,122718,112538
2019-02-20,107109,95024
2019-02-21,96748,84077
2019-02-22,89755,76770
2019-02-23,83554,71831
2019-02-24,77448,65469
2019-02-25,73911,62167
2019-02-26,85530,78853
2019-02-27,124338,121730
2019-02-28,164835,162975
2019-03-01,166315,164480
2019-03-02,175383,176826
2019-03-03,183147,180911
2019-03-04,177618,173084
2019-03-05,166953,162147
2019-03-06,163987,160863
2019-03-07,175463,168886
2019-03-08,174544,166914
2019-03-09,168009,160567
2019-03-10,163217,156722
2019-03-11,157642,150039
2019-03-12,149142,141576
2019-03-13,139238,134831
2019-03-14,129444,121805
2019-03-15,121064,115167
2019-03-16,115346,106554
2019-03-17,110731,101891
2019-03-18,105932,97089
2019-03-19,100478,91791
2019-03-20,94974,85735
2019-03-21,91364,82054
2019-03-22,87634,79414
2019-03-23,86280,81727
2019-03-24,84249,79425
2019-03-25,82851,78125
2019-03-26,83305,80160
2019-03-27,86282,81508
2019-03-28,91312,82310
2019-03-29,97628,88575
2019-03-30,104665,95438
2019-03-31,104920,96014
2019-04-01,101965,96640
2019-04-02,98396,93495
2019-04-03,96917,91620
2019-04-04,100489,95058
2019-04-05,105390,100990
2019-04-06,107852,103226
2019-04-07,110798,106086
2019-04-08,111108,106646
2019-04-09,109382,104902
2019-04-10,106459,101233
2019-04-11,104555,99430
2019-04-12,104882,100003
2019-04-13,106732,101857
2019-04-14,105842,101072
2019-04-15,103564,98867
2019-04-16,100417,96212
2019-04-17,96620,92425
2019-04-18,91315,87213
2019-04-19,87289,83209
2019-04-20,83566,79352
2019-04-21,79631,75036
2019-04-22,76746,72172
2019-04-23,73927,69351
2019-04-24,71077,66546
2019-04-25,68464,63949
2019-04-26,65797,61365
2019-04-27,63340,58922
2019-04-28,61169,56698
2019-04-29,59111,54716
2019-04-30,56544,52156
2019-05-01,54170,50006
2019-05-02,52188,47993
2019-05-03,50211,45926
2019-05-04,48175,43857
2019-05-05,46331,42007
2019-05-06,45916,41572
2019-05-07,46321,42002
2019-05-08,46424,42011
2019-05-09,46385,41791
2019-05-10,46310,41640
2019-05-11,45071,40246
2019-05-12,44061,39239
2019-05-13,43897,39493
2019-05-14,43764,39303
2019-05-15,44461,41425
2019-05-16,46959,46814
2019-05-17,50496,50336
2019-05-18,54171,56911
2019-05-19,58678,72728
2019-05-20,60979,72701
2019-05-21,62375,70922
2019-05-22,64008,72656
2019-05-23,62379,67864
2019-05-24,60619,54621
2019-05-25,57642,51702
2019-05-26,55347,49721
2019-05-27,55213,49422
2019-05-28,56223,50889
2019-05-29,57076,50691
2019-05-30,55709,49125
2019-05-31,54792,48005
2019-06-01,57472,43251
2019-06-02,61325,47074
2019-06-03,63608,49387
2019-06-04,66005,51676
2019-06-05,68198,53720
2019-06-06,68931,54421
2019-06-07,68058,53513
2019-06-08,67459,52884
2019-06-09,65956,51343
2019-06-10,63823,49223
2019-06-11,60495,48342
2019-06-12,55943,43842
2019-06-13,51429,36559
2019-06-14,46914,31980
2019-06-15,43799,28823
2019-06-16,41763,26737
2019-06-17,40425,25377
2019-06-18,38980,26594
2019-06-19,37338,24894
2019-06-20,35991,23258
2019-06-21,34703,21291
2019-06-22,33250,19142
2019-06-23,32040,18465
2019-06-24,31163,17935
2019-06-25,29670,16226
2019-06-26,28037,14804
2019-06-27,26567,13291
2019-06-28,25047,16262
2019-06-29,23825,14950
2019-06-30,23600,13747
2019-07-01,24577,9812
2019-07-02,25564,10848
2019-07-03,25584,10267
2019-07-04,24915,10114
2019-07-05,24342,9655
2019-07-06,24099,9129
2019-07-07,23797,8270
2019-07-08,23720,8611
2019-07-09,23443,7847
2019-07-10,23821,8215
2019-07-11,23865,8238
2019-07-12,23643,8005
2019-07-13,23301,7639
2019-07-14,22709,7069
2019-07-15,22240,6795
2019-07-16,22217,6599
2019-07-17,22412,6847
2019-07-18,22039,6437
2019-07-19,21939,6335
2019-07-20,21975,6371
2019-07-21,22011,6444
2019-07-22,22063,6486
2019-07-23,22044,6478
2019-07-24,22575,7013
2019-07-25,22569,7055
2019-07-26,22477,6973
2019-07-27,22373,6343
2019-07-28,22314,6323
2019-07-29,22348,6347
2019-07-30,22666,6779
2019-07-31,23263,7300
2019-08-01,23701,7746
2019-08-02,23807,7837
2019-08-03,23668,7773
2019-08-04,23284,7378
2019-08-05,23129,8275
2019-08-06,23337,10654
2019-08-07,24259,11654
2019-08-08,24738,13632
2019-08-09,24885,15747
2019-08-10,24590,17108
2019-08-11,24095,16683
2019-08-12,24020,16609
2019-08-13,24178,15260
2019-08-14,24687,12304
2019-08-15,24796,12398
2019-08-16,24838,10468
2019-08-17,25319,10919
2019-08-18,25646,11298
2019-08-19,25847,11594
2019-08-20,25904,11706
2019-08-21,26142,12158
2019-08-22,26194,11359
2019-08-23,26174,10831
2019-08-24,26395,11081
2019-08-25,26518,11227
2019-08-26,26110,10909
2019-08-27,25633,10438
2019-08-28,25387,10748
2019-08-29,25549,12150
2019-08-30,25567,12205
2019-08-31,25461,12150
2019-09-01,26051,12966
2019-09-02,26053,12812
2019-09-03,25810,12132
2019-09-04,25687,12074
2019-09-05,25918,12350
2019-09-06,26186,12658
2019-09-07,25569,12091
2019-09-08,25781,12336
2019-09-09,25513,12176
2019-09-10,25237,13122
2019-09-11,25048,13447
2019-09-12,24910,14893
2019-09-13,24588,11367
2019-09-14,24744,10539
2019-09-15,25076,10892
2019-09-16,25381,13088
2019-09-17,25725,17681
2019-09-18,25965,15853
2019-09-19,26041,14280
2019-09-20,25978,13866
2019-09-21,25606,11653
2019-09-22,25109,11200
2019-09-23,24615,11206
2019-09-24,24046,10199
2019-09-25,23596,10290
2019-09-26,23105,9301
