Station,Date,Chla,Pheophytin,TotAlkalinity,DissAmmonia,DissNitrateNitrite,DOC,TOC,DON,TotPhos,DissOrthophos,TDS,TSS,TKN,Depth,Secchi,Microcystis,SpCndSurface,WTSurface
P8,2019-01-15,0.84,1.21,NA,0.2,3.6,6,6,0.5,0.37,0.329,491,12,0.8,38.7,100,1,878,10.03
D7,2019-01-17,0.88,0.64,NA,0.214,0.57,1.7,1.7,0.1,0.094,0.092,8530,24,0.38,8.2,52,1,14498,10.37
P8,2019-02-15,2.29,1.03,NA,0.09,1.03,6.1,5.6,0.5,0.153,0.12,160,17,0.7,17,44,1,276,10.87
D7,2019-02-20,1.92,2.32,NA,0.07,0.37,4.2,4.2,0.3,0.18,0.071,133,108,0.6,8,16,1,228,9.19
P8,2019-03-14,2.6,1.42,NA,0.05,0.54,3.6,3.6,0.38,0.07,0.075,112,6,0.4,36.7,76,1,194,12.12
D7,2019-03-18,2.53,1.35,NA,0.05,0.3,2.5,2.5,0.2,0.08,0.065,108,36,0.4,8.2,28,1,189,12.7
P8,2019-04-12,1.59,1.25,NA,0.05,0.42,2.6,2.6,0.2,0.1,0.072,109,27,0.3,39,92,1,195,14.26
D7,2019-04-16,2.81,1.19,NA,0.05,0.17,2.3,2.1,0.16,0.07,0.054,94,22,0.245,7,28,1,168,14.76
P8,2019-05-13,1.03,0.5,NA,0.05,0.36,2.2,2.2,0.2,0.08,0.075,118,4,0.3,37.8,100,1,214,18.25
D7,2019-05-15,2.1,0.69,NA,0.05,0.16,1.9,2.1,0.12,0.08,0.053,150,39,0.253,6.6,40,1,276,17.38
P8,2019-06-10,2.85,0.67,NA,0.05,0.18,3.2,3.4,0.22,0.09,0.089,59,6,0.3,37.8,80,1,95,20.98
D7,2019-06-12,4.2,0.83,NA,0.05,0.17,2,2.1,0.1,0.055,0.05,515,17,0.253,5.8,44,1,895,23
P8,2019-07-10,4.06,0.78,NA,0.057,0.63,3.6,3.3,0.27,0.113,0.106,177,6,0.419,37.3,100,1,323,23.16
D7,2019-07-12,4.31,1.55,NA,0.051,0.266,1.6,1.6,0.1,0.102,0.079,5270,65,0.207,6.1,100,1,8783,21.46
P8,2019-08-07,3.87,1.04,NA,0.05,0.595,2.7,2.7,0.34,0.156,0.148,209,5,0.469,37.4,128,2,371,25.71
D7,2019-08-12,3.29,0.67,NA,0.05,0.158,1.6,1.8,0.14,0.099,0.072,6360,40,0.274,5.9,40,1,10379,22.4
P8,2019-09-05,10.4,7.25,44,0.05,0.74,2.4,2.4,0.31,0.166,0.156,138,6,0.533,37.7,116,4,246,24.01
D7,2019-09-09,1.47,1.23,62,0.051,0.272,1.6,1.6,0.16,0.128,0.095,4540,76,0.3,6.3,36,2,7747,21.23
P8,2019-10-04,3.27,0.5,54,0.2,NA,2.4,2.4,0.26,0.13,NA,100,3.8,0.26,36.6,124,4,163,17.99
D7,2019-10-08,1.1,0.5,71,0.12,2.8,0.61,0.59,0.2,0.094,0.032,7200,14,0.23,6.2,68,2,12051,18.84
P8,2019-11-05,3.03,0.53,58,0.2,1.3,2.8,2.8,NA,0.16,0.15,200,4.5,0.31,42,168,2,355,14.14
D7,2019-11-07,1.05,0.5,71,0.2,2.8,0.55,0.62,0.2,0.081,2,11000,22,0.3,10,64,1,16743,14.94
P8,2019-12-04,1.52,0.56,87,0.23,2.9,3.2,3.2,NA,0.22,0.23,430,1.3,0.2,38.3,248,1,773,11.6
D7,2019-12-09,0.79,1.22,74,0.22,0.15,1.2,0.92,NA,0.044,0.074,12000,43,0.37,7.2,44,1,18393,12.15
