Station,Date,Chla,Pheophytin,TotAlkalinity,DissAmmonia,DissNitrateNitrite,DOC,TOC,DON,TotPhos,DissOrthophos,TDS,TSS,TKN,Depth,Secchi,Microcystis,SpCndSurface,WTSurface
C3A,2020-01-14,2.55,1.08,68,0.29,0.16,2.1,2,NA,NA,0.044,120,6.5,0.43,16.3,NA,1,182.8,9.46
C3A,2020-02-12,1.56,0.92,84,0.32,0.23,2.2,2.3,NA,0.15,0.066,130,7.5,0.58,14.8,NA,1,216,10.19
C3A,2020-03-02,1.74,1,72,0.7,0.14,1.8,1.8,NA,0.1,0.068,110,5.4,0.7,14.5,NA,1,184,13.18
C3A,2020-06-12,0.95,0.81,57,0.7,0.1,1.7,1.8,0.1,0.08,0.089,93,5.7,0.9,14.3,NA,1,149,21.8
C3A,2020-07-08,1.07,0.67,50,0.48,0.07,1.4,1.4,0.1,0.05,0.058,76,5.6,0.5,15.3,NA,1,132,22.25
C3A,2020-08-06,1.41,0.65,66,0.61,0.07,1.9,1.9,0.11,0.08,0.056,90,4.9,0.8,15.1,NA,1,163,22.51
C3A,2020-09-23,0.81,0.64,65,0.4,0.08,1.9,2,0.1,0.07,0.081,95,2.8,0.6,14.6,NA,1,162,20.33
C3A,2020-10-06,0.7,0.68,56,0.46,0.13,1.6,1.6,0.12,0.09,0.103,95,3.3,0.6,14.4,NA,1,142,19.63
C3A,2020-11-04,0.53,0.5,58,0.28,0.111,2,1.9,0.1,0.09,0.085,84,2.5,0.4,14.6,NA,1,147,14.97
C3A,2020-12-03,0.74,0.52,65,0.46,0.192,2,2,0.1,0.09,0.096,92,2.6,0.6,14.3,NA,1,164,10.27
C3A,2021-03-03,1.21,0.88,85,0.269,0.207,2.4,2.4,0.13,0.061,0.074,124,3.3,0.444,14.63,NA,1,214,12.31
C3A,2021-04-01,0.6,0.5,76.2,0.19,0.127,2,2,0.1,0.058,0.06,119,3.7,0.338,15.04,NA,1,195,15.91
C3A,2021-05-03,0.5,0.5,65.4,0.05,0.345,1.4,1.5,0.13,0.091,0.119,101,3.2,0.176,13.96,NA,1,167,19.69
C3A,2021-06-01,0.77,0.5,61.8,0.05,0.323,1.5,1.6,0.1,0.085,0.101,99,2.5,0.1,14.29,NA,1,161,23.46
C3A,2021-07-14,0.9,0.93,56.3,0.05,0.138,1.4,1.5,0.1,0.033,0.05,76,2.5,0.12,15.65,NA,1,138,24.88
C3A,2021-08-12,0.95,0.5,59.9,0.05,0.202,1.4,1.4,0.11,0.121,0.121,92,2.5,0.141,15.1,NA,1,159,24
C3A,2021-09-09,0.72,0.5,79.6,0.05,0.278,1.8,1.8,0.19,0.036,0.057,121,2.5,0.174,14.31,NA,1,210,23.78
C3A,2021-10-11,0.5,1.27,63.9,0.05,0.19,1.3,1.3,0.15,0.023,0.05,96,2.9,0.162,13.62,NA,1,156,17.09
C3A,2021-11-08,0.51,0.56,71.2,0.05,0.527,2.3,2.4,0.2,0.07,0.05,130,6.4,0.217,13.84,NA,1,206,15.74
C3A,2021-12-08,0.5,0.87,75.2,0.054,0.44,2,2,0.1,0.08,0.081,125,3.3,0.185,14.51,NA,1,205,12.15
C3A,2022-01-05,0.67,2.94,66.6,0.05,0.399,4,4.3,0.29,0.057,0.05,119,19.5,0.349,15.61,NA,1,201,8.22
C3A,2022-02-07,1.01,2.86,74.4,0.05,0.253,2,2,0.15,0.033,0.05,117,3.1,0.223,14.7,NA,1,192,9.62
C3A,2022-03-09,1.43,1.49,63.6,0.05,0.22,1.8,1.7,0.16,0.021,0.05,97,2.5,0.182,15.6,NA,1,161,12.4
C3A,2022-04-06,0.87,1.15,61.6,0.05,0.187,1.6,1.6,0.11,0.054,0.069,87,2.5,0.161,14.5,NA,1,151,17.02
C3A,2022-05-19,1.3,1.15,52.8,0.05,0.148,2.1,2.1,0.15,0.037,0.05,83,2.5,0.165,15.5,NA,1,133,21.6
C3A,2022-06-20,0.92,0.5,49.3,0.05,0.112,2.1,2.3,0.12,0.027,0.05,71,2.9,0.155,14.7,NA,1,121,21.78
C3A,2022-07-18,0.82,0.5,46.8,0.05,0.221,2.3,2.4,0.1,0.03,0.05,75,3.4,0.129,15.2,NA,1,121,23.16
C3A,2022-08-15,0.89,0.53,46.9,0.05,0.17,1.5,1.7,0.1,0.026,0.05,70,2.9,0.1,14.2,NA,1,119,23.26
C3A,2022-09-13,0.84,0.5,51.2,0.05,0.201,1.8,1.8,0.1,0.029,0.05,80,2.5,0.111,14.7,NA,1,131,21.15
C3A,2022-10-12,0.7,0.5,55.2,0.05,0.237,2,2.1,0.1,0.037,0.05,86,2.5,0.122,14.7,NA,1,139,21.22
C3A,2022-11-10,0.53,0.5,55.4,0.05,0.285,2.2,2.3,0.14,0.084,0.079,89,2.6,0.203,13.8,NA,1,141,12.62
C3A,2022-12-09,2.07,0.97,66.5,0.05,0.337,3.3,3.3,0.18,0.068,0.057,114,7,0.25,14.5,NA,1,181,9.87
